# Steps: 4000000000
# Save frequency: 1000000
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
1245000000,357,0,357
1246000000,373,5,368
1247000000,373,5,368
1248000000,384,0,384
1249000000,372,0,372
1250000000,370,0,370
1251000000,375,5,370
1252000000,366,1,365
1253000000,371,0,371
1254000000,369,2,367
1255000000,368,3,365
1256000000,354,14,340
1257000000,375,2,373
1258000000,377,1,376
1259000000,365,0,365
1260000000,369,9,360
1261000000,377,0,377
1262000000,378,2,376
1263000000,380,5,375
1264000000,360,2,358
1265000000,375,6,369
1266000000,364,0,364
1267000000,364,3,361
1268000000,373,4,369
1269000000,370,2,368
1270000000,374,4,370
1271000000,360,6,354
1272000000,365,19,346
1273000000,370,19,351
1274000000,365,34,331
1275000000,361,26,335
1276000000,360,26,334
1277000000,354,16,338
1278000000,370,17,353
1279000000,369,7,362
1280000000,364,6,358
1281000000,369,6,363
1282000000,365,10,355
1283000000,363,1,362
1284000000,372,5,367
1285000000,372,2,370
1286000000,365,0,365
1287000000,355,0,355
1288000000,355,8,347
1289000000,365,15,350
1290000000,360,13,347
1291000000,361,0,361
1292000000,375,0,375
1293000000,363,2,361
1294000000,372,0,372
1295000000,373,2,371
1296000000,365,13,352
1297000000,370,12,358
1298000000,373,2,371
1299000000,356,4,352
1300000000,364,8,356
1301000000,368,1,367
1302000000,370,8,362
1303000000,368,5,363
1304000000,361,0,361
1305000000,374,5,369
1306000000,368,0,368
1307000000,375,5,370
1308000000,358,9,349
1309000000,362,0,362
1310000000,374,6,368
1311000000,373,4,369
1312000000,373,6,367
1313000000,365,5,360
1314000000,374,6,368
1315000000,368,0,368
1316000000,369,2,367
1317000000,377,0,377
1318000000,362,10,352
1319000000,368,1,367
1320000000,373,3,370
1321000000,371,6,365
1322000000,366,3,363
1323000000,371,7,364
1324000000,364,6,358
1325000000,369,10,359
1326000000,376,0,376
1327000000,377,0,377
1328000000,357,2,355
1329000000,373,2,371
